#TYPE Selected.System.Management.Automation.PSCustomObject
"Name","MMR","Games"
"YoyO","4944","8"
"Bojinkins","","0"
"Galeforce","4541","4"
"TEarDroP","4816","1"
"Dyncommon","4635","4"
"Kirt","4453","8"
"TheKazootie","","0"
"Quaven","4338","1"
"Derp","4113","3"
"Vedeynevin","4061","1"
"NoamPomsky","3921","1"
"Duttles","3877","30"
"LeWaffles","3580","5"
"Tixt","3331","1"
"Rocky","3463","1"
"MrHyde","3167","1"
"sherpard","3184","2"
"Oghma","2847","2"
"Coast","2955","2"
"floski","3315","2"
"UnKleToBy","4916","3"
"JonBom","5124","2"
"Sawblade","3788","11"
"Awful","4759","1"
"Unknown","4553","5"
"GeminiDTX","3036","3"
"DJCylon","3595","1"
"Magyner","3879","1"
"whoneth","4485","1"
