#TYPE Selected.System.Management.Automation.PSCustomObject
"Name","MMR","Games"
"YoyO","4959","7"
"Bojinkins","","0"
"Galeforce","4541","10"
"TEarDroP","4816","1"
"Dyncommon","4635","4"
"Kirt","4434","3"
"TheKazootie","","0"
"Quaven","4338","1"
"Derp","4113","3"
"Vedeynevin","4061","1"
"NoamPomsky","3921","1"
"Duttles","3723","1"
"LeWaffles","3512","8"
"Tixt","3331","1"
"Rocky","3463","1"
"MrHyde","3167","1"
"sherpard","3167","2"
"Oghma","2847","2"
"Coast","2955","2"
"floski","3347","1"
"UnKleToBy","4916","4"
"JonBom","5124","2"
"Sawblade","3719","3"
"Awful","4759","1"
"Unknown","4513","8"
"GeminiDTX","3036","8"
"DJCylon","3595","1"
"Magyner","3879","1"
"whoneth","4485","1"
