#TYPE Selected.System.Management.Automation.PSCustomObject
"Name","Race","MMR","Games"
"YoyO","ZERG","4888","23"
"Bojinkins","TERRAN","","0"
"Galeforce","PROTOSS","4587","56"
"TEarDroP","TERRAN","4816","1"
"Dyncommon","ZERG","4635","21"
"Kirt","PROTOSS","4499","19"
"TheKazootie","TERRAN","","0"
"Quaven","PROTOSS","4338","1"
"Derp","ZERG","4113","3"
"Vedeynevin","ZERG","4061","1"
"NoamPomsky","ZERG","3921","9"
"Duttles","ZERG","3723","11"
"LeWaffles","PROTOSS","3490","22"
"Tixt","ZERG","3331","27"
"Rocky","PROTOSS","3463","1"
"MrHyde","PROTOSS","3167","1"
"sherpard","PROTOSS","3147","13"
"Oghma","ZERG","2847","7"
"Coast","ZERG","2955","2"
"floski","TERRAN","3347","1"
"UnKleToBy","PROTOSS","4941","20"
"JonBom","PROTOSS","5124","61"
"Sawblade","TERRAN","3743","22"
"Awful","TERRAN","4759","2"
"Unknown","TERRAN","4494","29"
"GeminiDTX","PROTOSS","3020","33"
"DJCylon","ZERG","3595","1"
"Magyner","ZERG","3879","7"
"whoneth","PROTOSS","4485","1"
